9464400 7 6 6 6 5 5 4 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 3 3 3 3 2 2 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 4 4 4 5 5 6 6 6 6 5 5 5 5 5 5 6 6 6 6 6 5 5 5 5 5 5 5 6 5 6 6 5 5 5 5 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 4 5 5 5 5 5 4 4 4 4 4 5 5 5 5 6 6 6 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 4
9468000 6 6 6 5 5 4 4 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 3 3 3 3 2 2 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 4 4 4 5 5 6 6 6 6 5 5 5 5 5 5 6 6 6 6 6 5 5 5 5 5 5 5 6 5 6 6 5 5 5 5 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 4 5 5 5 5 5 4 4 4 4 4 5 5 5 5 6 6 6 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5
9471600 6 6 6 5 5 4 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 3 3 3 3 2 2 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 4 4 4 5 5 6 6 6 6 5 5 5 5 5 5 6 6 6 6 6 5 5 5 5 5 5 5 6 5 6 6 5 5 5 5 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 4 5 5 5 5 5 4 4 4 4 4 5 5 5 5 6 6 6 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5
9475200 6 5 5 5 4 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 3 3 3 3 2 2 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 4 4 4 5 5 6 6 6 6 5 5 5 5 5 5 6 6 6 6 6 5 5 5 5 5 5 5 6 5 6 6 5 5 5 5 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 4 5 5 5 5 5 4 4 4 4 4 5 5 5 5 6 6 6 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5
9478800 5 5 4 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 3 3 3 3 2 2 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 4 4 4 5 5 6 6 6 6 5 5 5 5 5 5 6 6 6 6 6 5 5 5 5 5 5 5 6 5 6 6 5 5 5 5 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 4 5 5 5 5 5 4 4 4 4 4 5 5 5 5 6 6 6 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5
9482400 5 4 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 3 3 3 3 2 2 1 1 1 1 1 1 2 2 2 2 2 2 2 3 3 4 4 4 5 5 6 6 6 6 5 5 5 5 5 5 6 6 6 6 6 5 5 5 5 5 5 5 6 5 6 6 5 5 5 5 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 4 5 5 5 5 5 4 4 4 4 4 5 5 5 5 6 6 6 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5
9486000 6 5 4 4 3 3 3 3 3 3 3 3 4 4 4 3 3 3 3 3 3 3 2 2 1 1 1 1 1 1 1 2 2 2 3 3 4 4 3 3 3 4 5 5 5 5 5 6 6 6 7 7 7 6 6 6 6 6 5 5 5 5 5 5 5 5 5 6 6 6 6 5 5 5 4 4 3 3 3 3 3 3 3 4 4 5 5 5 5 5 5 5 6 5 5 5 5 5 4 4 4 5 5 6 6 6 6 6 6 6 6 6 5 4 4 4 4 4 4 4 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 5 5 4 4 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 5 5 5 5 5 5 5 5
9489600 5 4 3 3 3 2 2 3 3 3 3 4 4 4 3 3 3 3 3 3 3 2 2 1 1 1 1 1 1 1 2 2 2 3 3 4 4 3 3 3 4 5 5 5 5 5 6 6 6 7 7 7 6 6 6 6 6 5 5 5 5 5 5 5 5 5 6 6 6 6 5 5 5 4 4 3 3 3 3 3 3 3 4 4 5 5 5 5 5 5 5 6 5 5 5 5 5 4 4 4 5 5 6 6 6 6 6 6 6 6 6 5 4 4 4 4 4 4 4 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 5 5 4 4 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 5 5 5 5 5 5 5 5 4
9493200 4 3 3 3 2 2 3 3 3 3 4 4 4 4 3 3 3 3 3 3 2 2 1 1 1 1 1 1 1 2 2 2 3 3 4 4 3 3 3 4 5 5 5 5 5 6 6 6 7 7 7 6 6 6 6 6 5 5 5 5 5 5 5 5 5 6 6 6 6 5 5 5 4 4 3 3 3 3 3 3 3 4 4 5 5 5 5 5 5 5 6 5 5 5 5 5 4 4 4 5 5 6 6 6 6 6 6 6 6 6 5 4 4 4 4 4 4 4 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 5 5 4 4 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 5 5 5 5 5 5 5 5 4 4
9496800 3 3 3 2 2 3 3 3 3 4 4 4 4 3 3 3 3 3 3 2 2 1 1 1 1 1 1 1 2 2 2 3 3 4 4 3 3 3 4 5 5 5 5 5 6 6 6 7 7 7 6 6 6 6 6 5 5 5 5 5 5 5 5 5 6 6 6 6 5 5 5 4 4 3 3 3 3 3 3 3 4 4 5 5 5 5 5 5 5 6 5 5 5 5 5 4 4 4 5 5 6 6 6 6 6 6 6 6 6 5 4 4 4 4 4 4 4 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 5 5 4 4 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 5 5 5 5 5 5 5 5 4 4 4
